fase2 1
 273.269 479 204.986 0 0 2000 1 1 3 0.99 1 0 0 0 0.712295 0 1
formigueiro 458 447 0 0 0 0 1 1 1 1
formigueiro 2183 447 0 0 0 0 1 1 1 1
formigueiro 2799 447 0 0 0 0 1 1 1 1
formigueiro 3633 447 0 0 0 0 1 1 1 1
formigueiro 4300 447 0 0 0 0 1 1 1 1
formigueiro 5075 447 0 0 0 0 1 1 1 1
plataforma 619 310.543 0 -30 0 0 1 1 0 262
plataforma 983 276.543 0 -30 0 0 1 1 0 228
plataforma 1775 329.543 0 -30 0 0 1 1 0 281
plataforma 2945 305.543 0 -30 0 0 1 1 0 257
plataforma 3604 260.544 0 -30 0 0 1 1 0 212
plataforma 4567 302.543 0 -30 0 0 1 1 0 254
boitata 1500 479 0 0 0 2000 0 2 9 0.99 1 3 0 3 1.74624
boitata 3900 479 0 0 0 2000 0 2 9 0.99 1 1 1 1 1.74624
boitata 4700 236.543 0 0 0 0 0 2 9 0.99 1 4 2 4 1.74624
macaco 2125.37 479 -100 0 0 2000 0 3 3 -4.31602e+08 1 3 3 1.74624
macaco 619 244.543 0 0 0 0 1 3 3 -4.31602e+08 1 3 3 1.74624
macaco 4274.62 479 100 0 0 2000 1 4 3 -4.31602e+08 1 4 4 1.74624
chao 0 605 0 0 0 2000 1 2 2
